,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
24,King,08 Tu Aake Dekhle.wav,"[[0.00000000e+00 1.49995745e-11 3.38414568e-04 ... 6.41287491e-02
  2.78306585e-02 4.44527641e-02]
 [0.00000000e+00 2.51917476e-12 1.07132399e-03 ... 2.11874649e-01
  2.55082339e-01 1.11406125e-01]
 [0.00000000e+00 5.20544849e-12 1.42062735e-03 ... 4.16965596e-02
  1.72357470e-01 4.65645567e-02]
 ...
 [0.00000000e+00 8.55314344e-12 1.02595277e-09 ... 2.79888157e-09
  3.77923826e-09 4.12683132e-09]
 [0.00000000e+00 8.09455714e-12 1.07836717e-09 ... 2.51093901e-09
  2.80040457e-09 3.82404819e-09]
 [0.00000000e+00 8.25926133e-12 1.86508076e-09 ... 2.15140949e-09
  2.41044318e-09 4.20864366e-09]]",0.0108635565,3.670039e-05,2060.768786193038,360397.3144652843,0.034447052639211134,0.034447052639211134,10.0,120.18531976744185
25,Mitraz,01 Akhiyaan.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4586888e+02
  1.6027011e+02 1.5182043e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.4425055e+02
  7.7226086e+02 7.4982635e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5590269e+02
  1.4895107e+02 1.6963269e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.0854974e-09
  2.4412772e-09 4.5723223e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5129135e-09
  3.1247078e-09 4.4628805e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7513042e-09
  2.9985658e-09 4.3923988e-06]]",0.0983337,0.007519762,1011.6880311428174,927331.239078977,0.02795098607888631,0.02795098607888631,10.0,99.38401442307692
26,Neeti Mohan,01 Meri Jaan.wav,"[[0.0000000e+00 4.4555537e-10 1.4974833e-06 ... 7.6263474e+01
  6.0959572e+01 5.7283054e+01]
 [0.0000000e+00 1.1699830e-10 5.8463615e-07 ... 4.0763691e+01
  2.9518522e+01 2.9207388e+01]
 [0.0000000e+00 1.7261002e-11 1.3925455e-07 ... 1.1619570e+00
  1.1810659e+00 1.2751473e+00]
 ...
 [0.0000000e+00 3.8929748e-11 2.9946046e-10 ... 3.5604080e-09
  3.0974521e-09 1.7222915e-07]
 [0.0000000e+00 4.3884285e-11 3.8106671e-10 ... 5.0320832e-09
  3.3597896e-09 1.8939826e-07]
 [0.0000000e+00 4.5869482e-11 4.0825804e-10 ... 3.1341896e-09
  2.7354570e-09 1.8636734e-07]]",0.06975578,0.00451196,2830.764687876093,4046965.693982389,0.05115170932424594,0.05115170932424594,10.0,109.95678191489361
27,One Direction,07 Night Changes.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5608931e-02
  9.4964709e-03 3.7190586e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7432164e-01
  3.6711317e-01 3.4764704e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.3632073e+00
  3.7331836e+00 2.7184248e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3480507e-09
  3.9698076e-09 6.1651343e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0645613e-09
  3.0393732e-09 5.3213068e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5704701e-09
  2.2846680e-09 4.9227907e-07]]",0.041745488,0.0019508246,1342.0285973164741,1270003.3766824321,0.031959197360788866,0.031959197360788866,10.0,120.18531976744185
28,"Pritam, Arijit Singh",01 Shayad.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.8681383e-03
  1.7432019e-02 1.0977354e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.2805670e-01
  4.4953129e-01 5.2373374e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.1373290e-01
  7.2677952e-01 3.8748980e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.6601611e-09
  3.9814751e-09 4.4269513e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7051799e-09
  5.1371720e-09 4.6587330e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5254111e-09
  4.0657682e-09 8.4873877e-09]]",0.065825015,0.0011528757,2429.1501578619605,2773903.3483689423,0.041714626232598605,0.041714626232598605,10.0,132.51201923076923
29,"Pritam, Arijit Singh, Amitabh Bhattacharya",01 Kesariya Audio Teaser (From _Brahmastra_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.3573828e+00
  7.4404259e+00 2.3244712e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.8257488e+01
  5.5986660e+01 3.3144901e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.8059740e+01
  2.4068344e+01 1.7346525e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8177793e-09
  3.1245040e-09 1.6884017e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9193044e-09
  3.3157030e-09 1.6502678e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7721275e-09
  2.9420875e-09 1.6376639e-07]]",0.19494887,0.011101501,1416.0177793934106,919337.6583367699,0.027646235136310905,0.027646235136310905,10.0,93.96306818181819
30,"Pritam, Arijit Singh, Tulsi Kumar",02 Hum Nashe Mein Toh Nahin.wav,"[[7.4439827e-10 5.9701983e-07 5.9056561e-05 ... 2.2925725e-02
  1.3211290e-03 2.3253751e+00]
 [9.8526654e-10 1.5837427e-06 1.3658157e-04 ... 3.9065320e-02
  1.6590677e-01 7.5898619e+00]
 [2.2411098e-10 5.1224056e-06 7.0423580e-04 ... 2.9853240e-01
  4.5080477e-01 5.0364979e+01]
 ...
 [5.1932869e-10 2.1992281e-09 3.0540237e-09 ... 3.1937701e-09
  2.9496832e-09 3.1129565e-07]
 [2.7181329e-10 1.3870077e-09 2.2876017e-09 ... 3.0442220e-09
  2.1098012e-09 3.2860979e-07]
 [3.0429881e-10 2.8798857e-09 4.4425565e-09 ... 2.6638030e-09
  1.9328088e-09 3.2477544e-07]]",0.118343115,0.0028988093,1900.8487787215226,582820.834553299,0.029893914950696057,0.029893914950696057,10.0,105.46875
31,"Pritam, Tanishk Bagchi, Neeraj Shridhar",01 Bhool Bhulaiyaa 2 Title Track.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.0000003e-05
  1.7956947e-05 2.4313254e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6545915e-04
  5.8557718e-05 3.7473454e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.1082780e-04
  4.3146367e-05 3.0703184e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2707224e-09
  3.4200600e-09 2.2791057e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.1320220e-09
  3.0828320e-09 2.2145875e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2358777e-09
  2.3104096e-09 2.1619660e-06]]",0.04783304,0.0036383737,5183.819046826339,7980790.999790017,0.19907260549593966,0.19907260549593966,10.0,107.666015625
32,"Ravi Basrur, Ananya Bhat",04 Mehabooba.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.20632935e+01
  9.06627426e+01 9.63904724e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.90486450e+02
  2.41670166e+02 2.65805084e+02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.69751053e+01
  1.04383865e+02 1.22637398e+02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.86596702e-09
  4.03636591e-09 8.50395381e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.15730797e-09
  3.78496212e-09 7.87238505e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.12738724e-09
  3.57305852e-09 7.39970716e-08]]",0.18019423,0.0019849183,1406.0998897124962,536573.659506951,0.032986740501740136,0.032986740501740136,10.0,117.45383522727273
33,"Sachet-Parampara, Sachet Tandon",01 Maiyya Mainu (From _Jersey_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4491763e-03
  1.4328563e-03 1.1052842e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.6271978e-03
  1.5188750e-03 1.3654571e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1203849e-02
  2.4147478e-03 2.9521262e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7396546e-09
  2.6051097e-09 5.7053603e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6899652e-09
  3.0322145e-09 5.5726980e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7765488e-09
  2.1454107e-09 5.4131124e-07]]",0.01482791,0.0012374768,2878.42167866919,1662955.5123263563,0.05626110245069606,0.05626110245069606,10.0,143.5546875
34,"Shae Gill, Ali Sethi",01 Pasoori.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.1302887e-02
  5.1480349e-02 3.2768112e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.6707520e-02
  1.5299368e-01 4.6460263e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0065247e-01
  8.8268943e-02 9.0338243e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9583692e-09
  3.3492278e-09 5.6537402e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4376284e-09
  3.1542278e-09 6.1202350e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8238022e-09
  2.5388112e-09 6.2536280e-08]]",0.021640759,0.00042649038,1999.503455300917,6500601.074652691,0.038411080698955914,0.038411080698955914,10.0,105.46875
35,Shubh,01 NO LOVE.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.64129809e-03
  9.83852521e-03 7.35072941e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.86708730e-02
  3.21685076e-02 1.12408236e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.83032395e-02
  3.29754427e-02 1.91434056e-01]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.21838356e-09
  3.10204640e-09 1.03156005e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.77860898e-09
  3.69188480e-09 9.64264331e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.72785816e-09
  3.89953847e-09 9.53748227e-08]]",0.06745591,0.0014693686,891.4030106248051,335497.1393244874,0.02480717988689095,0.02480717988689095,10.0,135.99917763157896
36,Shubh,01 WE ROLLIN.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.6952554e-01
  3.1124935e-01 6.5204310e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.6457891e-01
  1.3878986e-01 5.4135126e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5590362e-01
  7.2572097e-02 1.9371852e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8262011e-09
  2.4499913e-09 2.0375749e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2835867e-09
  2.2099427e-09 1.8681398e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0400376e-09
  2.7673936e-09 1.9490564e-08]]",0.031003281,0.0008470034,1207.418610122163,1820229.298750426,0.026300346215197216,0.026300346215197216,10.0,86.1328125
37,Sia,05 Unstoppable.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.0856304e-01
  1.0861038e-02 1.3245842e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4871143e-01
  6.8658683e-03 1.0458259e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2687085e-02
  1.8194463e-02 3.2487873e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4183698e-09
  2.1292834e-09 2.3035667e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6384490e-09
  3.7943781e-09 4.7043049e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8451761e-09
  3.4961127e-09 4.4970672e-09]]",0.04745927,0.0019568822,1251.135948773554,878135.1460990867,0.03285419083526682,0.03285419083526682,10.0,87.5926906779661
38,"Sid Sriram, Sreejith Edavana",01 Kaadhal En Kaviye - From _Salmon 3D.wav,"[[0.0000000e+00 0.0000000e+00 1.6252034e-10 ... 1.0322891e+01
  9.1932344e+00 8.8460836e+00]
 [0.0000000e+00 0.0000000e+00 6.4249023e-11 ... 1.6934683e+01
  1.3585310e+01 9.2401552e+00]
 [0.0000000e+00 0.0000000e+00 2.3147180e-11 ... 8.7097692e+00
  8.0279989e+00 6.6964207e+00]
 ...
 [0.0000000e+00 0.0000000e+00 1.7956315e-11 ... 2.9228833e-09
  2.9846303e-09 3.9887805e-08]
 [0.0000000e+00 0.0000000e+00 2.4168974e-11 ... 3.2784666e-09
  4.1968509e-09 4.5849696e-08]
 [0.0000000e+00 0.0000000e+00 1.6825303e-11 ... 3.9620023e-09
  4.2023078e-09 4.6772232e-08]]",0.106247224,0.0011838083,1767.7698886354785,2363822.559954219,0.050336019069025524,0.050336019069025524,10.0,135.99917763157896
39,Sidhu Moose Wala,30 295.wav,"[[0.0000000e+00 3.3929434e-10 1.3724954e-07 ... 9.4096140e-05
  1.8557902e-04 3.0840261e-04]
 [0.0000000e+00 1.0824620e-10 4.3710514e-07 ... 5.9020892e-04
  3.1793682e-04 7.7233434e-04]
 [0.0000000e+00 2.7609238e-11 1.6725771e-06 ... 1.7503157e-03
  1.0318798e-03 1.1917533e-03]
 ...
 [0.0000000e+00 3.2503264e-11 5.6551003e-10 ... 3.6708572e-09
  2.8795482e-09 2.8167442e-09]
 [0.0000000e+00 5.3440290e-11 4.0175954e-10 ... 3.2008116e-09
  2.5357003e-09 4.4676640e-09]
 [0.0000000e+00 6.1426704e-11 4.7037235e-10 ... 2.3155722e-09
  2.9380549e-09 3.3081364e-09]]",0.024982143,0.00024721923,1082.2630161262014,575174.9754757644,0.032155189602668215,0.032155189602668215,10.0,135.99917763157896
40,Sidhu Moose Wala,03 Everybody Hurts.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.3237156e-04
  3.8981621e-04 1.3934898e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.1270501e-04
  1.0894608e-04 1.1682335e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4318096e-02
  1.1197479e-02 4.4305295e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9201957e-09
  3.3994902e-09 3.5975418e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6415585e-09
  2.2317836e-09 3.0916394e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.1028544e-09
  3.7180929e-09 2.8857725e-09]]",0.06261991,0.001263385,1421.9276503799185,2615652.837642153,0.032121202508700694,0.032121202508700694,10.0,120.18531976744185
41,Sidhu Moose Wala,01 SYL.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.22439423e+02
  1.23816956e+02 8.56240311e+01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.95783569e+02
  4.39923096e+02 2.39976700e+02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.16211380e+02
  3.24327759e+02 1.48922485e+02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.75549147e-09
  3.19239346e-09 3.73511398e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.89553056e-09
  5.70182657e-09 3.67109294e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.91458102e-09
  3.42180440e-09 3.57167266e-07]]",0.20757766,0.012347028,1468.1190768298202,774780.0758881016,0.03160119997099768,0.03160119997099768,10.0,114.84375
42,Sidhu Moose Wala,01 The Last Ride.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.22626603e-04
  6.29370115e-05 1.46433255e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.70413305e-03
  1.68925995e-04 1.78916082e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.12522396e-03
  2.11197441e-03 2.69612577e-02]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.39665776e-09
  2.53168886e-09 7.10733161e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.73556444e-09
  3.27676242e-09 7.63937624e-09]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.74835577e-09
  3.00755287e-09 8.11392553e-09]]",0.0009778166,2.6126636e-05,644.8313737514372,4505302.695277683,0.01072179524361949,0.01072179524361949,10.0,126.04801829268293
43,"Sidhu Moose Wala, Sunny Malton",01 Never Fold (feat. Sunny Malton).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1798854e+00
  7.9368007e-01 1.5990062e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.4779317e-01
  2.3459680e+00 1.1656463e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7642950e-01
  3.6181498e+00 4.2254567e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4295076e-09
  2.6316000e-09 3.8839855e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9425671e-09
  3.5546943e-09 2.9923678e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.6195906e-09
  2.9548808e-09 2.7062777e-05]]",0.12580143,0.0063830726,2555.1207195412776,5906097.389180513,0.06696930285672854,0.06696930285672854,10.0,93.96306818181819
44,"Sidhu Moose Wala, Sunny Malton, The Kidd",01 Levels.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9139041e-03
  3.4406492e-03 1.6797712e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5853038e-02
  1.2210347e-02 6.2598795e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4588294e-03
  2.4891731e-03 5.9590101e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9743834e-09
  2.9522385e-09 8.8122524e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2770540e-09
  2.7865787e-09 8.2356537e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5781251e-09
  2.1494884e-09 7.9233769e-06]]",0.045189414,0.0014652958,2952.5267591502434,5454695.393124058,0.08974405452436195,0.08974405452436195,10.0,117.45383522727273
45,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",01 Raataan Lambiyan (From _Shershaah_).wav,"[[2.0830902e-12 3.4298267e-10 2.5876542e-04 ... 1.9829668e-02
  4.5754510e-01 1.8505535e+00]
 [2.8230671e-12 8.3750243e-11 1.0257481e-03 ... 5.9076518e-01
  4.4802192e-01 2.1040945e+00]
 [1.3017291e-12 2.0994890e-11 5.8675912e-04 ... 5.6642032e-01
  5.0697994e-01 1.0350373e+00]
 ...
 [2.9868666e-12 1.7356867e-10 4.2239803e-09 ... 7.6116535e-09
  6.3229805e-08 8.4798216e-07]
 [3.0205875e-12 1.5731215e-10 2.6568725e-09 ... 3.4871739e-09
  6.3438286e-08 8.7253841e-07]
 [2.9907934e-12 1.6900523e-10 2.4643700e-09 ... 3.3829399e-09
  6.6334003e-08 8.8361247e-07]]",0.21342221,0.013389266,2895.544237870494,1724042.825993299,0.04328936158642691,0.04328936158642691,10.0,107.666015625
46,"The Kid LAROI, Justin Bieber",03 STAY (with Justin Bieber).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5459853e-03
  6.9055933e-04 2.9248605e-04]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.2224733e-02
  8.5097820e-02 4.9443492e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.2803796e-02
  2.1931046e-01 1.4391465e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0194296e-09
  2.0688316e-09 4.4014308e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5602454e-09
  4.0645385e-09 3.8233114e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.5206424e-09
  3.4191294e-09 5.1547442e-09]]",0.011432575,2.6132207e-05,841.4404987319521,285618.8349869201,0.02712736550174014,0.02712736550174014,10.0,151.99908088235293
47,Vishal Mishra,01 Kaise Hua (From _Kabir Singh_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.0532036e-02
  5.7031242e-03 3.9176285e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.1986501e+00
  2.6070228e-01 8.4865278e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3771623e+01
  1.6805195e+00 2.0579314e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.1271429e-09
  2.2669016e-09 3.0531078e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.3418203e-09
  2.3096025e-09 3.3630134e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9165088e-09
  3.1968259e-09 2.7618896e-09]]",0.052337505,0.00078796706,995.3238424392556,1835604.7742454642,0.012912829901392111,0.012912829901392111,10.0,139.6748310810811
48,"Yasser Desai, Neha Kakkar, Rajat Nagpal",01 Dil Ko Karaar Aaya (From _Sukoon_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7553928e-03
  4.2081908e-03 1.7847179e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.2593537e-03
  6.0240239e-02 2.1211987e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.4736336e-02
  8.5913323e-02 8.1288360e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.1441261e-09
  3.0704794e-09 2.0099070e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6328770e-09
  4.1095540e-09 1.9865240e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0344722e-09
  4.1931130e-09 1.9464933e-07]]",0.010975344,7.267826e-05,2211.719621447116,2345918.376999926,0.06946962006960557,0.06946962006960557,10.0,129.19921875
